"CR","HD","HP","INIT","NAME","URL"
"1/2","1d8+3","11","+0","Aasimar","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/aasimar"
"8","8d10+16","60","+1","Medusa, Greater","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/medusa/medusa-greater"
"15","20d10+100","210","+10","Kami, Toshigami","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/kami/kami-toshigami"
"8","9d10+45","94","+5","Lammasu","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/lammasu"
"15","17d12+119","229","+9","Linnorm, Gare","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/linnorm/linnorm-gare"
"13","18d8+72","153","+15","Living Rune","http://www.d20pfsrd.com/bestiary/monster-listings/aberrations/living-rune"
"6","9d8","40","+13","Will-o'-Wisp","http://www.d20pfsrd.com/bestiary/monster-listings/aberrations/will-o--wisp"
"2","3d10+6","24","+3","Hoar Fox","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/hoar-fox"
"5","7d10+14","52","+8","Sabosan","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/sabosan"
"19","23d10+207","333","+9","Sea Serpent, Deep","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/serpent-deep-sea"
"10","14d10+70","147","+5","Shedu, Greater (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/shedu-ff/shedu-greater-ff"
"9","18d8","81","+6","Skeleton, Multiplying T-Rex","http://www.d20pfsrd.com/bestiary/monster-listings/undead/skeleton-medium/skeleton-multiplying-t-rex"
"1/3","1d10","5","+6","Strix","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/strix"
"9","10d10+60","115","+4","Ankhrav","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/ankhrav"
"3","3d8+12","37","+1","Duergar Tyrant","http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/duergar/duergar-tyrant"
"3","4d10+20","42","-1","Robot, Scrapyard","http://www.d20pfsrd.com/bestiary/monster-listings/constructs/robot/robot-scrapyard"
"16","21d12+126","262","-1","Green Dragon, Very Old","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/chromatic-green/green-dragon-very-old"
"2","3d8+3","16","+7","Weedwhip","http://www.d20pfsrd.com/bestiary/monster-listings/plants/weedwhip"
"22","29d12+232","420","+2","Silver Dragon, Great Wyrm","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/metallic-silver/silver-dragon-great-wyrm"
"22","29d12+232","420","+2","Umbral Dragon, Great Wyrm","http://www.d20pfsrd.com/bestiary/monster-listings/dragons/dragon/-primal-umbral/umbral-dragon-great-wyrm"
"1/4","1d6","3","+2","Gremlin, Nuno","http://www.d20pfsrd.com/bestiary/monster-listings/fey/gremlins/gremlin-nuno"
"11","12d10+96","174","+11","Baku Dreamweaver","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/baku/baku-dreamweaver"
"13","18d10+90","189","+5","Cherufe","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/cherufe"
"1","2d10","11","+3","Fire Bird Companion (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/fire-bird-companion"
"11","10d10+50","105","+1","Cryohydra (10-headed)","http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/hydra/cryohydra/cryohydra-10-headed"
"3","4d10+8","30","+3 (+7 with hive mind)","Formian Warrior","http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/formian/formian-warrior"
"17","20d8+180","270","+7","Immortal Ichor","http://www.d20pfsrd.com/bestiary/monster-listings/oozes/immortal-ichor"
"4","6d10","33","+2","Archon, Stag","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/archon/archon-stag"
"7","8d10+40","84","+5","Devil, Patraavex (Sire Devil)","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/devil/devil-sire"
"5","6d10+24","57","+8","Devil, Mnemor (Memory Devil)","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/devil/devil-mnemor"
"1","2d10+2","13","-1","Elemental Warrior, Earth (3pp)","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/elemental/elemental-earth/earth-elemental-warrior"
"15","19d10+133","237","+10","Manitou","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/manitou"
"6","7d10+28","66","+4","Rakshasa, Amanusya","http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/rakshasa/rakshasa-amanusya"
"24","38d8+456","627","+9","Kudzu, The Everblight","http://www.d20pfsrd.com/bestiary/monster-listings/plants/kudzu-the-everblight"
"3","4d8+8","26","+3","Thorny","http://www.d20pfsrd.com/bestiary/monster-listings/plants/thorny"
"4","4d8+12","30","+1","Medusa Head, Belching","http://www.d20pfsrd.com/bestiary/monster-listings/undead/beheaded/medusa-head/medusa-head-belching"
"12","17d8+85","161","+5","Sayona","http://www.d20pfsrd.com/bestiary/monster-listings/undead/sayona"
"8","12d8+36","90","+4","Locust, Plague Locust Swarm","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/locust-plague-locust-swarm"
"7","11d8+44","93","+3","Xenopterid","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/xenopterid"
"1/4","1d8+1","5","+2","Trilobite","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/trilobite"
"5","8d8+24","60","+2","Walking Stick, Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/walking-stick-giant"
"3","5d8+10","32","+0","Termite, Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/termite-giant"
"6","10d8+30","75","+2","Swarm, Termite","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/swarm-termite"
"3","4d8+4","22","+0","Swarm, Scarab","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/swarm-scarab"
"11","14d8+84","147","+1","Spider, Goliath (Colossal)","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/spider/spider-goliath"
"9","14d8+42","105","+7","Shrimp, Giant Mantis","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/shrimp-giant-mantis"
"2","4d8+16","34","+2","Sea Anemone, Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/sea-anemone-giant"
"4","6d8+12","39","+3","Swarm, Scorpion","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/scorpion/swarm-scorpion"
"4","5d8+25","47","+0","Scorpion, Advanced Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/scorpion/advanced-giant-scorpion"
"6","9d8+27","67","+1","Scarab, Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/scarab-giant"
"3","4d8+4","22","+2","Locust, Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/locust-giant"
"1/8","1d8+1","5","-3","Leopard Slug","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/leopard-slug"
"8","7d8+42","77","+2","Worm That Walks, Locust","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/worm-that-walks-human-conjurer/worm-that-walks-locust"
"4","6d8+12","39","+4","Ground Wasp, Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/ground-wasp-giant"
"1","3d8+3","16","+1","Caterpillar, Horn","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/caterpillar-horn"
"4","5d8+15","37","+0","Caterpillar, Blood","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/caterpillar-blood"
"3","4d8+4","22","+0","Scarab Beetle Swarm","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/beetle/scarab-beetle/swarm-scarab-beetles"
"1","1d8+1","5","+3","Beetle, Bellyborer","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/beetle/beetle-bellyborer"
"13","20d10+60","170","+7","Beetle Swarm, Hive Mind","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/beetle/beetle-swarm-hive-mind"
"2","3d8","13","+1","Wasp, Ground Wasp Swarm","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/bees-and-wasps/wasp/wasp-ground-wasp-swarm"
"3","5d8+5","27","+2","Assassin Bug, Giant","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/assassin-bug-giant"
"6","6d8+48","75","-1","Ant, Giant (Megapon)","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/ant/ant-megapon"
"4","4d8+24","42","+0","Ant, Giant (Knight)","http://www.d20pfsrd.com/bestiary/monster-listings/vermin/ant/ant-knight"
"5","12d8+12","66","-2","Zombie, Giant (Hill)","http://www.d20pfsrd.com/bestiary/monster-listings/undead/zombie/zombie-hill-giant"
"2","5d8","22","+0","Zombie, Crocodile","http://www.d20pfsrd.com/bestiary/monster-listings/undead/zombie/zombie-crocodile"
"17","24d8+144","252","+16","Wyrmwraith","http://www.d20pfsrd.com/bestiary/monster-listings/undead/wyrmwraith"
"7","10d8+30","75","+8","Wraith, Zealot","http://www.d20pfsrd.com/bestiary/monster-listings/undead/wraith/wraith-zealot"
"6","6d8+12","42","+6","Wight, Monk","http://www.d20pfsrd.com/bestiary/monster-listings/undead/wight/wight-monk"
"3","4d8+8","26","+6","Vukodlak","http://www.d20pfsrd.com/bestiary/monster-listings/undead/vukodlak"
"10","9d8+27","71","+11","Vampire, Nosferatu (Rogue 9)","http://www.d20pfsrd.com/bestiary/monster-listings/undead/vampire/vampire-nosferatu"
"1/4","2d8","9","+1","Undigested","http://www.d20pfsrd.com/bestiary/monster-listings/undead/undigested"
"8","10d8+60","105","+12","Totenmaske, Advanced Unhallowed","http://www.d20pfsrd.com/bestiary/monster-listings/undead/totenmaske/totenmaske-advanced-unhallowed"
"6","9d8+36","76","+9","Tiyanak","http://www.d20pfsrd.com/bestiary/monster-listings/undead/tiyanak"
"5","12d8","54","+3","Swarm, Undigested","http://www.d20pfsrd.com/bestiary/monster-listings/undead/swarm-undigested"
